VALUE,NEW_CLASS,NEW_DESCRI,OLD_CLASS,OLD_DESCRI,R,G,B,RED,GREEN,BLUE,
-9999,NoData,NoData,NoData,NoData,0,0,0,0.000000,0.000000,0.000000,
1,Vegetation Condition Class I.A,"Very Low, Vegetation Departure 0-16%",Vegetation Condition Class I,Low Vegetation Departure,56,168,0,0.219608,0.658824,0.000000,
2,Vegetation Condition Class I.B,"Low to Moderate, Vegetation Departure 17-33%",Vegetation Condition Class I,Low Vegetation Departure,76,230,0,0.298039,0.901961,0.000000,
3,Vegetation Condition Class II.A,"Moderate to Low, Vegetation Departure 34-50%",Vegetation Condition Class II,Moderate Vegetation Departure,255,255,0,1.000000,1.000000,0.000000,
4,Vegetation Condition Class II.B,"Moderate to High, Vegetation Departure 51-66%",Vegetation Condition Class II,Moderate Vegetation Departure,255,170,0,1.000000,0.666667,0.000000,
5,Vegetation Condition Class III.A,"High, Vegetation Departure 67-83%",Vegetation Condition Class III,High Vegetation Departure,255,0,0,1.000000,0.000000,0.000000,
6,Vegetation Condition Class III.B,"Very High, Vegetation Departure 84-100%",Vegetation Condition Class III,High Vegetation Departure,168,0,0,0.658824,0.000000,0.000000,
111,Water,Water,Water,Water,0,0,255,0.000000,0.000000,1.000000,
112,Snow / Ice,Snow / Ice,Snow / Ice,Snow / Ice,200,255,255,0.784314,1.000000,1.000000,
120,Non burnable Urban,Non burnable Urban,Urban,Urban,132,0,168,0.517647,0.000000,0.658824,
121,Burnable Urban,Burnable Urban,Burnable Urban,Burnable Urban,245,22,182,0.960784,0.086275,0.713725,
131,Barren,Barren,Barren,Barren,78,78,78,0.305882,0.305882,0.305882,
132,Sparsely Vegetated,Sparsely Vegetated,Sparsely Vegetated,Sparsely Vegetated,178,178,178,0.698039,0.698039,0.698039,
180,Non burnable Agriculture,Non burnable Agriculture,Agriculture,Agriculture,223,115,255,0.874510,0.450980,1.000000,
181,Burnable Agriculture,Burnable Agriculture,Burnable Agriculture,Burnable Agriculture,232,190,255,0.909804,0.745098,1.000000,
